Entity,Code,Year,
Afghanistan,AFG,1961,1.022
Afghanistan,AFG,1962,0.9735
Afghanistan,AFG,1963,0.8317
Afghanistan,AFG,1964,0.951
Afghanistan,AFG,1965,0.9723
Afghanistan,AFG,1966,0.8666
Afghanistan,AFG,1967,1.1232
Afghanistan,AFG,1968,1.1562
Afghanistan,AFG,1969,1.1855
Afghanistan,AFG,1970,0.9563
Afghanistan,AFG,1971,0.8149
Afghanistan,AFG,1972,0.8457
Afghanistan,AFG,1973,1.1739
Afghanistan,AFG,1974,1.2074
Afghanistan,AFG,1975,1.2128
Afghanistan,AFG,1976,1.2494
Afghanistan,AFG,1977,1.1309
Afghanistan,AFG,1978,1.198
Afghanistan,AFG,1979,1.2317
Afghanistan,AFG,1980,1.2549
Afghanistan,AFG,1981,1.235
Afghanistan,AFG,1982,1.2299
Afghanistan,AFG,1983,1.258
Afghanistan,AFG,1984,1.2319
Afghanistan,AFG,1985,1.2277
Afghanistan,AFG,1986,1.189
Afghanistan,AFG,1987,1.2849
Afghanistan,AFG,1988,1.1728
Afghanistan,AFG,1989,1.118
Afghanistan,AFG,1990,1.051
Afghanistan,AFG,1991,1.0213
Afghanistan,AFG,1992,1.0313
Afghanistan,AFG,1993,1.0211
Afghanistan,AFG,1994,1.025
Afghanistan,AFG,1995,1.0894
Afghanistan,AFG,1996,1.122
Afghanistan,AFG,1997,1.2764
Afghanistan,AFG,1998,1.2964
Afghanistan,AFG,1999,1.2329
Afghanistan,AFG,2000,0.724
Afghanistan,AFG,2001,0.8977
Afghanistan,AFG,2002,1.5419
Afghanistan,AFG,2003,1.5
Afghanistan,AFG,2004,1.2659
Afghanistan,AFG,2005,1.8215
Afghanistan,AFG,2006,1.376
Afghanistan,AFG,2007,1.8183
Afghanistan,AFG,2008,1.2263
Afghanistan,AFG,2009,1.9666
Afghanistan,AFG,2010,1.9252
Afghanistan,AFG,2011,1.5179
Afghanistan,AFG,2012,2.0104
Afghanistan,AFG,2013,2.0248
Afghanistan,AFG,2014,2.0237
Albania,ALB,1961,0.7731
Albania,ALB,1962,1.0522
Albania,ALB,1963,0.7127
Albania,ALB,1964,0.9625
Albania,ALB,1965,1.1344
Albania,ALB,1966,1.2398
Albania,ALB,1967,1.355
Albania,ALB,1968,1.4124
Albania,ALB,1969,1.6389
Albania,ALB,1970,1.5377
Albania,ALB,1971,1.8735
Albania,ALB,1972,1.9
Albania,ALB,1973,2.0097
Albania,ALB,1974,2.0625
Albania,ALB,1975,1.9375
Albania,ALB,1976,2.5526
Albania,ALB,1977,2.45
Albania,ALB,1978,2.45
Albania,ALB,1979,2.49
Albania,ALB,1980,2.5198
Albania,ALB,1981,2.5321
Albania,ALB,1982,2.6886
Albania,ALB,1983,3.0879
Albania,ALB,1984,3.1579
Albania,ALB,1985,3.1406
Albania,ALB,1986,2.8945
Albania,ALB,1987,3.1031
Albania,ALB,1988,3.201
Albania,ALB,1989,2.9302
Albania,ALB,1990,3.0197
Albania,ALB,1991,2.0698
Albania,ALB,1992,2.4388
Albania,ALB,1993,2.9976
Albania,ALB,1994,2.4745
Albania,ALB,1995,2.8703
Albania,ALB,1996,2.1741
Albania,ALB,1997,2.8516
Albania,ALB,1998,2.8037
Albania,ALB,1999,2.4954
Albania,ALB,2000,3.0455
Albania,ALB,2001,2.822
Albania,ALB,2002,3.1617
Albania,ALB,2003,2.8629
Albania,ALB,2004,3.113
Albania,ALB,2005,3.1582
Albania,ALB,2006,3.0787
Albania,ALB,2007,3.5496
Albania,ALB,2008,4.0168
Albania,ALB,2009,4.0229
Albania,ALB,2010,3.9905
Albania,ALB,2011,4.2301
Albania,ALB,2012,4.1096
Albania,ALB,2013,4.1292
Albania,ALB,2014,4.0001
Algeria,DZA,1961,0.406
Algeria,DZA,1962,0.8045
Algeria,DZA,1963,0.8326
Algeria,DZA,1964,0.5317
Algeria,DZA,1965,0.6057
Algeria,DZA,1966,0.4252
Algeria,DZA,1967,0.6333
Algeria,DZA,1968,0.6899
Algeria,DZA,1969,0.6034
Algeria,DZA,1970,0.6245
Algeria,DZA,1971,0.6133
Algeria,DZA,1972,0.6701
Algeria,DZA,1973,0.4934
Algeria,DZA,1974,0.4957
Algeria,DZA,1975,0.8313
Algeria,DZA,1976,0.7101
Algeria,DZA,1977,0.4337
Algeria,DZA,1978,0.5809
Algeria,DZA,1979,0.5553
Algeria,DZA,1980,0.7297
Algeria,DZA,1981,0.672
Algeria,DZA,1982,0.5965
Algeria,DZA,1983,0.5635
Algeria,DZA,1984,0.573
Algeria,DZA,1985,0.8861
Algeria,DZA,1986,0.8084
Algeria,DZA,1987,0.7777
Algeria,DZA,1988,0.6006
Algeria,DZA,1989,0.7821
Algeria,DZA,1990,0.6315
Algeria,DZA,1991,1.0809
Algeria,DZA,1992,0.9939
Algeria,DZA,1993,0.8097
Algeria,DZA,1994,0.7999
Algeria,DZA,1995,0.8924
Algeria,DZA,1996,1.309
Algeria,DZA,1997,0.8016
Algeria,DZA,1998,0.8847
Algeria,DZA,1999,1.0711
Algeria,DZA,2000,0.9194
Algeria,DZA,2001,1.1104
Algeria,DZA,2002,1.0739
Algeria,DZA,2003,1.448
Algeria,DZA,2004,1.3582
Algeria,DZA,2005,1.5057
Algeria,DZA,2006,1.5068
Algeria,DZA,2007,1.2742
Algeria,DZA,2008,1.1038
Algeria,DZA,2009,1.5975
Algeria,DZA,2010,1.4838
Algeria,DZA,2011,1.5277
Algeria,DZA,2012,1.7639
Algeria,DZA,2013,1.91
Algeria,DZA,2014,1.4753
Angola,AGO,1961,1.1111
Angola,AGO,1962,1.1111
Angola,AGO,1963,1.1111
Angola,AGO,1964,0.9286
Angola,AGO,1965,1.1111
Angola,AGO,1966,1.1
Angola,AGO,1967,1.35
Angola,AGO,1968,1.35
Angola,AGO,1969,0.943
Angola,AGO,1970,0.8546
