Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Feed and Residual,FSI,Ethanol,Total Domestic,Exports,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticFeed,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticFeed,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticFeed,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticFeed,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticFeed,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticFeed,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticFeed,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,South Korea BeginningStocks,South Korea Production,South Korea Imports,South Korea DomesticFeed,South Korea DomesticTotal,South Korea Exports,South Korea EndingStocks,South Africa BeginningStocks,South Africa Production,South Africa Imports,South Africa DomesticFeed,South Africa DomesticTotal,South Africa Exports,South Africa EndingStocks,Canada BeginningStocks,Canada Production,Canada Imports,Canada DomesticFeed,Canada DomesticTotal,Canada Exports,Canada EndingStocks,Ukraine BeginningStocks,Ukraine Production,Ukraine Imports,Ukraine DomesticFeed,Ukraine DomesticTotal,Ukraine Exports,Ukraine EndingStocks,Egypt BeginningStocks,Egypt Production,Egypt Imports,Egypt DomesticFeed,Egypt DomesticTotal,Egypt Exports,Egypt EndingStocks,Southeast Asia BeginningStocks,Southeast Asia Production,Southeast Asia Imports,Southeast Asia DomesticFeed,Southeast Asia DomesticTotal,Southeast Asia Exports,Southeast Asia EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticFeed,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2007/05/11,90.5,82.9,150.3,937.0,12460.0,15.0,13412.0,5700.0,4790.0,3400.0,10490.0,1975.0,12465.0,947.0,93.20,766.50,82.23,482.85,769.45,83.11,90.25,23.80,316.50,0.38,144.79,266.46,50.17,24.06,1.59,24.00,0.00,5.30,7.20,16.00,2.39,5.37,50.00,0.30,35.50,42.00,6.50,7.17,30.86,146.00,0.10,105.00,148.00,3.00,25.96,0.65,0.00,16.10,11.70,16.20,0.00,0.55,2.91,23.20,10.20,17.50,33.30,0.03,2.98,1.32,0.06,9.10,7.10,9.20,0.00,1.28,0.38,10.50,0.25,4.35,8.90,0.75,1.48,1.57,11.50,1.60,9.20,13.10,0.20,1.37,1.07,7.00,0.00,4.50,5.10,2.50,0.47,0.49,5.98,4.30,8.30,10.40,0.00,0.37,2.25,17.08,4.20,15.50,21.35,0.24,1.95,10.42,55.37,3.50,45.30,60.30,0.30,8.69
2007/06/11,90.5,82.9,150.3,987.0,12460.0,15.0,13462.0,5700.0,4790.0,3400.0,10490.0,1975.0,12465.0,997.0,94.68,767.96,82.33,484.13,770.84,83.11,91.80,25.07,316.50,0.38,144.79,266.46,50.17,25.33,1.46,24.00,0.00,5.20,7.10,16.00,2.36,5.37,50.00,0.30,35.50,42.00,6.50,7.17,30.86,146.00,0.10,105.00,148.00,3.00,25.96,0.65,0.00,16.10,11.70,16.20,0.00,0.55,2.91,23.20,10.20,17.50,33.30,0.03,2.98,1.32,0.06,9.10,7.10,9.20,0.00,1.28,0.38,10.50,0.25,4.35,8.90,0.75,1.48,1.57,11.50,1.60,9.20,13.10,0.20,1.37,1.07,7.50,0.00,5.00,5.60,2.50,0.47,0.49,5.98,4.30,8.30,10.40,0.00,0.37,2.25,17.08,4.20,15.50,21.35,0.24,1.95,10.72,55.72,3.50,45.80,60.80,0.30,8.84
2007/07/12,92.9,85.4,150.3,1137.0,12840.0,15.0,13992.0,5700.0,4790.0,3400.0,10490.0,2000.0,12490.0,1502.0,100.95,777.10,82.33,483.63,769.70,82.75,108.36,28.88,326.15,0.38,144.79,266.46,50.80,38.15,1.46,24.00,0.00,5.20,7.10,16.00,2.36,5.37,50.00,0.30,35.50,42.00,6.50,7.17,32.86,148.00,0.10,105.00,148.00,3.00,29.96,0.65,0.00,16.10,11.70,16.20,0.00,0.55,2.91,23.20,10.20,17.50,33.30,0.03,2.98,1.32,0.06,9.10,7.10,9.20,0.00,1.28,0.71,10.50,0.25,4.35,8.90,0.75,1.81,1.44,11.20,1.60,8.70,12.60,0.20,1.44,1.07,6.50,0.00,5.00,5.60,1.50,0.47,0.49,5.98,4.30,8.30,10.40,0.00,0.37,2.27,17.08,4.20,15.50,21.35,0.24,1.97,10.72,55.23,3.50,45.80,60.80,0.30,8.35
2007/08/10,92.9,85.4,152.8,1137.0,13054.0,15.0,14206.0,5750.0,4790.0,3400.0,10540.0,2150.0,12690.0,1516.0,100.20,771.50,85.33,483.25,769.48,86.01,102.23,28.88,331.58,0.38,146.06,267.73,54.61,38.50,1.16,24.00,0.00,5.20,7.10,16.00,2.06,4.37,50.00,0.30,35.50,42.00,7.00,5.67,32.86,148.00,0.10,105.00,148.00,3.00,29.96,0.65,0.00,16.10,11.70,16.20,0.00,0.55,2.91,23.20,10.20,17.50,33.30,0.03,2.98,1.32,0.06,9.10,7.10,9.20,0.00,1.28,0.71,10.50,0.25,4.35,8.90,0.75,1.81,1.44,11.20,1.60,8.70,12.60,0.20,1.44,1.07,6.50,0.00,5.00,5.60,1.50,0.47,0.69,5.98,4.50,8.60,10.70,0.00,0.47,2.22,17.08,4.20,15.50,21.35,0.24,1.92,10.72,48.43,6.00,45.80,60.80,0.30,4.05
2007/09/12,92.9,85.4,155.8,1142.0,13308.0,15.0,14465.0,5850.0,4690.0,3300.0,10540.0,2250.0,12790.0,1675.0,100.96,774.10,87.93,486.06,769.62,88.55,105.44,29.01,338.04,0.38,148.60,267.73,57.15,42.55,1.16,22.50,0.00,4.80,6.70,16.00,0.96,3.67,51.00,0.30,35.50,42.00,7.00,5.97,32.56,147.00,0.10,105.00,148.00,3.00,28.66,1.15,0.00,16.10,11.70,16.20,0.00,1.05,3.21,23.20,10.20,17.50,33.30,0.03,3.28,1.32,0.06,9.10,7.10,9.20,0.00,1.28,0.91,10.50,0.25,4.35,8.90,0.75,2.01,1.49,10.57,1.70,8.20,12.10,0.20,1.46,1.07,6.50,0.00,5.00,5.60,1.50,0.47,0.69,5.98,4.50,8.60,10.70,0.00,0.47,2.13,17.03,4.20,15.50,21.35,0.24,1.77,10.62,46.94,8.00,46.50,61.50,0.30,3.76
2007/10/12,93.6,86.1,154.7,1304.0,13318.0,15.0,14637.0,5700.0,4590.0,3200.0,10290.0,2350.0,12640.0,1997.0,105.05,768.97,90.08,482.25,763.66,91.09,110.36,33.12,338.29,0.38,144.79,261.38,59.69,50.72,1.16,22.50,0.00,4.80,6.70,16.00,0.96,4.27,50.00,0.75,36.00,42.50,8.00,4.52,32.08,143.00,0.10,105.00,148.00,1.50,25.68,1.15,0.00,16.10,11.70,16.20,0.00,1.05,3.21,23.20,10.20,17.50,33.30,0.03,3.28,1.32,0.06,9.10,7.10,9.20,0.00,1.28,0.91,10.50,0.25,4.35,8.90,0.75,2.01,1.59,10.56,2.00,8.50,12.40,0.20,1.55,1.07,6.50,0.00,5.00,5.60,1.50,0.47,0.69,5.98,4.50,8.60,10.70,0.00,0.47,2.09,17.03,4.20,15.50,21.35,0.24,1.74,10.37,46.39,9.50,46.00,61.00,0.30,4.96
2007/11/09,93.6,86.1,153.0,1304.0,13168.0,15.0,14487.0,5650.0,4590.0,3200.0,10240.0,2350.0,12590.0,1897.0,104.98,768.22,90.49,481.50,762.82,91.89,110.39,33.12,334.48,0.38,143.52,260.11,59.69,48.17,1.16,22.50,0.00,4.80,6.70,16.00,0.96,4.22,50.00,0.75,36.00,42.50,8.00,4.47,32.48,145.00,0.10,105.00,148.00,1.50,28.08,1.15,0.00,16.30,11.80,16.50,0.00,0.95,3.21,23.20,10.20,17.50,33.30,0.03,3.28,1.35,0.06,8.80,7.00,8.90,0.00,1.31,1.31,10.50,0.25,4.35,8.90,1.00,2.16,1.34,10.56,2.30,8.50,12.40,0.20,1.60,1.07,7.00,0.00,5.00,5.60,1.50,0.97,0.89,5.98,4.50,8.60,10.70,0.00,0.67,2.03,17.03,4.20,15.50,21.35,0.24,1.68,9.83,46.91,9.50,46.00,61.00,0.30,4.94
2007/12/11,93.6,86.1,153.0,1304.0,13168.0,15.0,14487.0,5650.0,4590.0,3200.0,10240.0,2450.0,12690.0,1797.0,106.17,769.31,91.75,484.17,766.43,94.14,109.06,33.12,334.48,0.38,143.52,260.11,62.23,45.63,1.66,22.50,0.00,4.80,6.70,16.00,1.46,4.22,50.00,0.75,36.00,42.50,8.00,4.47,32.48,145.00,0.10,105.00,148.00,1.50,28.08,1.15,0.00,16.30,11.80,16.50,0.00,0.95,3.21,23.20,10.20,17.50,33.30,0.03,3.28,1.35,0.06,8.80,7.00,8.90,0.00,1.31,2.01,10.00,0.25,4.80,9.20,0.80,2.26,1.34,11.65,2.30,9.60,13.50,0.20,1.59,1.07,7.40,0.00,5.00,5.60,1.50,1.37,0.89,5.98,4.50,8.60,10.70,0.00,0.67,2.03,17.03,4.20,15.50,21.35,0.24,1.68,9.85,47.26,9.50,46.00,61.00,0.30,5.31
2008/01/11,93.6,86.5,151.1,1304.0,13074.0,15.0,14393.0,5950.0,4555.0,3200.0,10505.0,2450.0,12955.0,1438.0,107.33,766.72,92.15,491.89,772.72,94.34,101.33,33.11,332.09,0.38,151.14,266.84,62.23,36.52,1.66,22.50,0.00,4.80,6.70,16.00,1.46,4.72,50.00,0.75,36.00,42.50,8.50,4.47,32.48,145.00,0.10,105.00,148.00,1.00,28.58,1.15,0.00,16.30,11.80,16.50,0.00,0.95,3.15,23.20,10.20,17.50,33.30,0.03,3.23,1.35,0.06,8.80,7.00,8.90,0.00,1.31,2.01,10.00,0.25,4.80,9.20,0.80,2.26,1.34,11.65,2.00,9.20,12.70,0.40,1.89,1.05,7.40,0.00,5.00,5.60,1.50,1.35,0.89,5.98,4.50,8.60,10.70,0.00,0.67,2.03,17.03,4.20,15.50,21.35,0.24,1.68,9.90,47.37,10.00,46.60,61.60,0.30,5.36
2008/02/08,93.6,86.5,151.1,1304.0,13074.0,15.0,14393.0,5950.0,4555.0,3200.0,10505.0,2450.0,12955.0,1438.0,107.25,766.23,92.43,491.05,771.60,94.12,101.88,33.11,332.09,0.38,151.14,266.84,62.23,36.52,1.66,21.50,0.00,4.80,6.70,15.00,1.46,4.72,50.00,0.75,36.00,42.50,8.50,4.47,32.48,145.00,0.10,105.00,148.00,1.00,28.58,1.15,0.00,16.30,11.80,16.50,0.00,0.95,3.13,22.50,10.20,16.70,32.50,0.10,3.23,1.35,0.06,8.80,7.00,8.90,0.00,1.31,1.91,11.00,0.25,4.50,9.10,1.50,2.56,1.34,11.65,2.00,9.20,12.70,0.40,1.89,1.07,7.40,0.00,5.00,5.60,1.50,1.37,0.91,5.98,4.50,8.60,10.70,0.00,0.69,1.91,17.03,4.20,15.50,21.35,0.24,1.56,10.08,47.50,10.00,46.60,61.60,0.30,5.67
